Sentence;Category;;;;;;;;;;;
Ich wollte eigentlich nur kurz einkaufen, aber dann habe ich fast eine Stunde im Laden verbracht.;Spoken Speech - Simple;;;;;;;;;;;
Wenn das Wetter morgen gut ist, könnten wir eine Fahrradtour machen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon die neue Pizzeria in der Innenstadt ausprobiert?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern im Park einen alten Schulfreund getroffen, den ich seit Jahren nicht gesehen habe.;Spoken Speech - Simple;;;;;;;;;;;
Kannst du mir bitte erklären, wie ich diesen Bericht formatieren soll?;Spoken Speech - Simple;;;;;;;;;;;
Wir müssen noch entscheiden, wohin wir im Sommerurlaub fahren wollen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du eigentlich schon die E-Mail von der Personalabteilung gelesen?;Spoken Speech - Simple;;;;;;;;;;;
Ich wollte heute früh aufstehen, aber mein Wecker hat nicht geklingelt.;Spoken Speech - Simple;;;;;;;;;;;
Es ist immer wieder faszinierend, wie schnell die Zeit vergeht.;Spoken Speech - Simple;;;;;;;;;;;
Der Film gestern Abend war richtig spannend, aber das Ende hat mir nicht gefallen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug an den See machen, wenn du Lust hast.;Spoken Speech - Simple;;;;;;;;;;;
Meine Nachbarn renovieren ihre Wohnung, es ist den ganzen Tag laut.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vergessen, meinen Laptop aufzuladen, jetzt ist der Akku leer.;Spoken Speech - Simple;;;;;;;;;;;
Kannst du mir kurz zeigen, wie man diese Maschine bedient?;Spoken Speech - Simple;;;;;;;;;;;
Das Restaurant war zwar teuer, aber das Essen war jeden Cent wert.;Spoken Speech - Simple;;;;;;;;;;;
Ich war letzte Woche beim Zahnarzt, und zum Glück war alles in Ordnung.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du möchtest, kann ich dir morgen beim Umzug helfen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du den Artikel gelesen, den ich dir geschickt habe?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe das Gefühl, dass es bald regnen wird, die Wolken sehen ziemlich dunkel aus.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten langsam mit den Vorbereitungen für die Party anfangen, es gibt noch viel zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Der Zug hatte Verspätung, deshalb bin ich erst später zur Arbeit gekommen.;Spoken Speech - Simple;;;;;;;;;;;
Wenn ich mehr Zeit hätte, würde ich gerne wieder ein Instrument lernen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, dass du dich ausreichend ausruhst, wenn du krank bist.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe keine Ahnung, wie ich dieses Problem lösen soll.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder waren heute sehr aufgeregt, weil sie eine Überraschung bekommen haben.;Spoken Speech - Simple;;;;;;;;;;;
Könntest du bitte das Fenster schließen? Es zieht hier drinnen.;Spoken Speech - Simple;;;;;;;;;;;
Wir müssen unbedingt noch Milch und Eier kaufen, bevor der Supermarkt schließt.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Kollege scheint sehr freundlich zu sein.;Spoken Speech - Simple;;;;;;;;;;;
