gen_id,ref_id,dialect_region,gen_text,gen_phoneme,gen_dialect,ref_text,sentence_id,speaker_id,gender,age,token_count
7_Basel,7,Basel,Mehr Aufmerksamkeit auf den Straßenverkehr wird auch ein Head-up-Display liefern. Im Herbst in den Schutz vor der Dunkelheit wird der vermehrte Einbrecher unterwegs.,m ɛ ə n s m ɔ z ɛ m k a l t ɪ n f d ɪ ʃ t iː s iː f ʊ k v uː l ɡ ɪ aʊ h ə d oː d ɪ s t ø l iː f uː y m h ø z iː n ɪ m ʃ s f uː l ɪ d ɪ n k l h a l t v iː d iː f ɔ m eː v ə iː b r ɛ x ʊ ɪ n t ɪ v ɔ k s,Basel,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,8f16829d-1a64-4145-927c-d6738a07ea24,male,thirties,23
7_Ostschweiz,7,Ostschweiz,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-Up-Display liefern. Im Herbst sind im Schutz von der Dunkelheit wieder vermehrt Einbrecher unterwegs geworden.,n iː uː f m ɛ k z a m k aɪ t oː f d iː ʃ t r aʊ s ə f ɛ x iː b l oː b aʊ ə s h œ t ɜ d iː s b l ø l iː f oː ə ɪ n h h œ p ʃ ts iː n d ə n ʃ ts f oː d d uː ə h ɑː l v iː d f oː m eː d iː b r ɛ d v ɔ l k s k ɡ ə,Basel,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,8d167b1c-7f89-4487-a0a9-2bbe08bf0b41,male,fourties,23
7_Graubünden,7,Graubünden,Mit Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-Up-Display liefern. Im Herbst sind im Schutz vor Dunkelheit wieder vermehrt Einbrecher unterwegs.,m ɪ r uː f m ɛ r k z a m k aɪ t uː f d ʃ t r aʊ s ə f ə k iː r v y r aʊ ə s h ɛ t ɜ d iː s p l aɪ l ɪ f v y r ɔ iː m h ɛ r ʃ t z iː ɪ n d eː m ʃ uː s f oː d ʊ ŋ k ə l aɪ t v iː d f m eː r iː b r ɛ x r ʊ n t ə r v e k s s,Basel,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,female,twenties,23
7_Bern,7,Bern,Mehr Aufmerksamkeit auf dem Strassenverkehr wird auch ein Head-Up-Display liefern. Im Herbst sind im Schutz von der Dunkelheit wieder vermehrt Einbrecher unterwegs.,m eː ʊ f m æ s ɔ p f eɪ d iː f ʊ n ʃ ʃ t r aʊ s ə n f f eɪ r m uː d v oː h h eː d aʊ p d iː s p l aɪ l iː f r ə ɪ m h ɪ r ʃ t z iː ɪ m ʃ uː ts f oː d b uː h ɛ t ɪ d iː f ə m eː r iː b r a x r uː ɡ ə v a,Bern,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,2a4acb33-759e-411f-bbd0-2470080758fb,male,twenties,23
7_Wallis,7,Wallis,Mit Übersamkeit auf den Straßenverkehr würde ich euch ein Lied auf Display liefern. Im Herbst sind im Schiff der Dunkelheit wieder vergnügt die Brache und Wachs.,m iː b ɪ f v ɪ r z a m aɪ t ʊ n ts ʃ t r oː ts ə v ə r x iː eː r ə uː d d iː aɪ e l h a d ɔ d iː s l aɪ l iː f r ɪ m h a r p s ts iː d eː m ʃ iː f ɔ d ɛ d uː ŋ x ə l h aɪ t v iː t r f ɛ r n eː t d iː b r a x a r ʊ ŋ b k s,Basel,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,female,twenties,23
7_Innerschweiz,7,Innerschweiz,Mehr Aufmerksamkeit auf den Strassenverkehr wird auch ein Head-Up-Display verliefern. Im Herbst sind Sie schutz der Dunkelheit wie der vermehrten Einbrecher unterwegs.,m eː uː f m ɛ r k z a m k aɪ t f d ʃ t r oː s ʊ x eː r v uː z aɪ ə s h ɛ l b aʊ d iː s b oɪ l ɪ r l iː s ə r ə ɪ m h eː r p ʃ ts iː n iː uː f ɔ d d uː ŋ k h aɪ t v ɪ d iː f uː m eː r iː b r a x ə r ʊ m t ə r v a s,Basel,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,72725555-9e5d-436a-b311-25048bc0c594,female,fourties,23
7_Zürich,7,Zürich,Bei etwas Strassenverkehr würde ich auch ein Head-Up-Display liefern. Im Herbst sind im Schutz von der Dunkelheit wieder vermehrte Brecher unterwegs.,d iː ɑː t t r aɪ s ɪ m f f iː r v uː d d iː aʊ h d ɔ t iː s p l eɪ l iː f uː r ɪ m h ɪ r p ʃ ts iː d iː m aɪ t f ɪ t ɪ d ə n h t v uː d f uː m r d iː b r ɑː s ə r ə d v ɔ k s,Bern,Mehr Aufmerksamkeit auf den Strassenverkehr würde auch ein Head-up-Display liefern. Im Herbst sind im Schutz der Dunkelheit wieder vermehrt Einbrecher unterwegs.,8e06ec976456f400c97f4ee173bf94a7eaf6c61e4b346e733d94336cc5964df2,3e7e3ad6-938d-40fa-9787-2e9f8c529a66,male,sixties,23
13_Basel,13,Basel,"Er war aber die unglaublichste Land, um die die einflussige Inspiration nie vergaßte. Vielen Dank fürs Vortun vom Finanzkommissionspräsident François Chabris.",oː v ɑː d uː d iː l aʊ l uː s t ɔ l a n t ʊ n d iː a n l uː z iː ɪ n ʃ p y r oː ts j uː l f ə k l ɑː ɪ f y l ə b ɔ m f uː s f eː p t uː e n f ɪ ɡ aʊ s x oː ɪ ts p eɪ z iː ɡ a n t f ʃ oː ʃ ɛ p uː,Basel,"Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen. Vielen Dank für das Votum des Finanzkommissionspräsidenten, François Chapuis.",f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,fd72db57-c291-43e6-840e-92e06f83ae56,male,twenties,23
13_Innerschweiz,13,Innerschweiz,Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen. Vielen Dank für das Wutung des Finanzkommissionspräsidenten François Chapuis.,m iː r v ɑː ɪ d s d iː z ʊ m d eː aʊ p n ɛ s t ɛ l a m t ʊ n t d iː n a m t l oː z ə ɪ n ʃ p i d oː ts j oː n iː f ɛ r ɡ s ts ə iː l ə ɡ aʊ t f ʊ s m iː d iː f ʊ n f iː n ɑ̃ n s k ɛ ə ʃ eɪ s p r e z iː d ɛ n t f r eɪ s j oː ʃ ɛ p iː,Bern,"Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen. Vielen Dank für das Votum des Finanzkommissionspräsidenten, François Chapuis.",f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,acf67674-c912-42c0-ba3c-f85e2db965ac,male,thirties,23
13_Graubünden,13,Graubünden,Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen. Vielen Dank für das Wohltum vom Finanzkommissionspräsident François Chapuis.,m iː r v ɪ r d ə n d iː n l aʊ p l ɪ ç s t ɛ ɾ l eː n ə m ɪ n d iː n iː ɛ n l ɪ n s n ʃ p i d ʊ ts j oː ə n iː f r ɡ eː ts ə f iː l ə d ɑː t f uː r ts ʊ h ʊ n t ʊ ɛ f ɛ n ts iː d ɔ s k ɛ ts j n ʃ p r uː z iː d eː ə d iː f r ɑː s y ɛ ʃ ɛ p m iː,Basel,"Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen. Vielen Dank für das Votum des Finanzkommissionspräsidenten, François Chapuis.",f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,6516567b-0d9b-4853-880c-d5f0327dd384,male,fourties,23
