session_id,sample_id,orig_dialect,speaker_id,system,smos,cmos,intelligibility,text
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,1f4672c899346133ecfc8b73b3bda809447810a6427fcf74e0002f6fbf30dc42,Bern,ba118975-5963-4495-927a-a78d19dd98c1,SNF_short_coqui_srf,3,0,3,Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Zürich,ba826a45-33f8-47ef-9516-a66a201aac29,SNF_short_coqui_srf,4,1,2,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,1f4672c899346133ecfc8b73b3bda809447810a6427fcf74e0002f6fbf30dc42,Bern,ba118975-5963-4495-927a-a78d19dd98c1,SNF_short_coqui_base,3,-1,3,Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Innerschweiz,5184dba3-c5e1-4570-ba26-62176e8c8dcc,SNF_short_coqui_base,2.5,-2,5,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Wallis,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,SNF_short_coqui_base,2,-2,5,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Wallis,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,SNF_short_coqui_srf_finetuned,2,-2,4,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,1f4672c899346133ecfc8b73b3bda809447810a6427fcf74e0002f6fbf30dc42,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,SNF_short_coqui_srf,3.5,-1,5,Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,de69bd12b304e8923568d078d45d04beca0dca5436a6f54de054ef1cce055ca4,Innerschweiz,5184dba3-c5e1-4570-ba26-62176e8c8dcc,SNF_short_coqui_srf_finetuned,3.5,-1,5,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,Basel,fd72db57-c291-43e6-840e-92e06f83ae56,SNF_short_coqui_base,1,-3,3,Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,Basel,fd72db57-c291-43e6-840e-92e06f83ae56,SNF_short_coqui_srf_finetuned,1,-2,3,Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Zürich,4ee1811c-9884-4261-99cb-2f7346c8ea6e,SNF_short_coqui_srf,1,-2,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Innerschweiz,acf67674-c912-42c0-ba3c-f85e2db965ac,SNF_short_coqui_base,2.5,-2,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Graubünden,c4f6bcdf-fc02-4fe8-9277-0701cfffebab,SNF_short_coqui_base,1,-3,5,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Ostschweiz,72911186-8b0e-4c0b-af3d-4d8765072930,SNF_short_coqui_base,2,-2,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Innerschweiz,acf67674-c912-42c0-ba3c-f85e2db965ac,SNF_short_coqui_srf,2,-1,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Wallis,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,SNF_short_coqui_srf,4,0,4,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Zürich,4ee1811c-9884-4261-99cb-2f7346c8ea6e,SNF_short_coqui_srf_finetuned,2,-2,5,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Bern,0497b106-6644-42ce-b99e-57f9a6c7fc81,SNF_short_coqui_srf,4,0,4,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Innerschweiz,acf67674-c912-42c0-ba3c-f85e2db965ac,SNF_short_coqui_srf_finetuned,2.5,-2,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Innerschweiz,4a8346e7-fa21-49b9-9a6f-c69ef828a68c,SNF_short_coqui_srf,4,0,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Innerschweiz,4a8346e7-fa21-49b9-9a6f-c69ef828a68c,SNF_short_coqui_srf_finetuned,3.5,-1,5,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Innerschweiz,5184dba3-c5e1-4570-ba26-62176e8c8dcc,SNF_short_coqui_srf_finetuned,1.5,-2,5,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Wallis,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,SNF_short_coqui_srf,4.5,0,2,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Zürich,ba826a45-33f8-47ef-9516-a66a201aac29,SNF_short_coqui_srf_finetuned,3,-2,5,Da kann man nicht in der Jugendherberge absteigen.
a6ac4cf1-c0b7-448a-a3ae-1b3374c058e4,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Innerschweiz,4a8346e7-fa21-49b9-9a6f-c69ef828a68c,SNF_short_coqui_base,1.5,-2,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
