gen_id,ref_id,dialect_region,gen_text,gen_phoneme,gen_dialect,speaker_id,ref_text,sentence_id,gender,age,token_count
16_Bern_d9b44aee-da3d-42c8-8ad1-d1029767f05a,16,Bern,Gestern waren wir Familie von einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ɪ b ə ɡ l aɪ t h a m iː r ɔ f oː m iː iː oː f ɔ m ʊ r x iː m uː d oː ɪ n s ɔ k s iː m ɪ r iː r uː d iː ʃ oː n ʃ oː s p ɪ z iː x t ə t ɪ n t f ɪ uː b ʊ t ʃ x ts uː f oː r ə a s iː ʃ iː z eː ʃ oː ə s f m x z iː,Basel,d9b44aee-da3d-42c8-8ad1-d1029767f05a,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,fourties,31
16_Zürich_6d34bfbb-2de2-48d9-891d-ae216f9b347b,16,Zürich,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besucht und viele gute Geschichten erfahren. Es war ein sehr schöner Ausflug.,iː b ə ɡ ɪ ç t ə m æ n ə f a m iː l oː f r r iː n ə r s z iː m h aɪ n ə uː m d ʃ ə n ʃ ʊ s p ə s iː t ɪ t ʊ p f iː l ʊ t ʃ iː x d ə f oː r ə z iː ʒ iː ts iː ʃ uː n oː m s f uː k s iː,Basel,6d34bfbb-2de2-48d9-891d-ae216f9b347b,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,twenties,31
16_Zürich_4ee1811c-9884-4261-99cb-2f7346c8ea6e,16,Zürich,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besucht und viel über die Geschichte erfahren. Es ist ein sehr schöner Ausflug.,ɪ x b ɪ d eː ʃ t r ə m eː n ɪ r ə f ɔ m iː l j oː f r f ɪ n ə r ɑː l ɪ s t z iː m eː r h aɪ d a s m uː n d ə ʃ l a n ʃ v aʊ s b z iː f t ɪ k ʊ n t f iː l ə b ʊ r k k ʃ iː t r f aɪ r ə ɔ s ɪ n ʃ ʊ ts eː ʃ uː n ə r ʊ ŋ s f n ʊ k,Basel,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,twenties,31
16_Basel_fd72db57-c291-43e6-840e-92e06f83ae56,16,Basel,Ich bin gestern mit meiner Familie auf einer kleinen Reise gewesen. Wir haben ein wunderschönes Schloss besucht und viel über die Geschichte erfahren. Es ist eine sehr schöne Ausflugsseele.,ɪ x ɪ d eː ʃ t ʊ m ɪ iː b ɔ f ɔ m l eː l ə uː f ɔ d ɛ f l aɪ ɡ ɜ v aɪ s s ə n v ɛ h ɑː b l ə oː m d ə ʃ ø n iː ʃ m oː s s t iː f t iː ʊ iː n n t ʃ iː f t aʊ f oː m a p ɪ n s iː ʃ ɪ z eː f ø n ə ʊ s f f l uː k s ə n,Basel,fd72db57-c291-43e6-840e-92e06f83ae56,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,twenties,31
16_Wallis_50e4a935-c887-4c38-aff2-6286aab725d1,16,Wallis,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben einen wunderschönen Schloss besucht und viel über die Geschichte erfahren. Es ist ein sehr schöner Ausflug.,ɪ x b ə ɡ ɛ ʃ t ə m a m ɪ n ɜ f a m iː l j ə f a r x m iː n a r aɪ l z ɔ k z iː v ɛ r ə j ɛ h ʊ n d ɜ ʃ ø n ʃ l oː s b ə z ɪ x t ɪ k ʊ n t f iː l oː v oː d ɪ k ʃ iː x t a r f oː r ɜ a s ɪ n ʃ z eː ʃ ø n n a n y s l uː k,Basel,50e4a935-c887-4c38-aff2-6286aab725d1,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,female,twenties,31
16_Zürich_ba826a45-33f8-47ef-9516-a66a201aac29,16,Zürich,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besucht und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ɪ x b ə ɡ ɛ ʃ t ə n ʊ m ɪ n ə r ə f a m iː l j f ɔ r x l iː n ə r aɪ s k z iː v ɛ r aɪ n ə s v ʊ n d ə ʃ ø n s ʃ l ɔ s ə z ɪ x d ɪ ʊ n t f iː l ʊ t k ʃ l ɪ x t ə r f ɔ r ə d a s ɪ ʃ z eː ʃ ø n ɜ uː s f l uː k z iː,Basel,ba826a45-33f8-47ef-9516-a66a201aac29,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,female,fifties,31
16_Ostschweiz_72911186-8b0e-4c0b-af3d-4d8765072930,16,Ostschweiz,Ich bin gestern mit meiner Familie von Leuchlin gereist gewesen. Wir haben ein wunderschönes Schloss besucht und viel über Geschichte erfahren. Das ist ein sehr schöner Ausflug.,iː b ə d iː ʃ t ɪ m ɪ t m ɪ n n ə r ə f a m iː l iː oː f f l iː n ə r aɪ s t s ɪ b ə h ɛ b ə v ʊ n d ə ʃ ʊ n ʃ l ɔ s d ə z ɪ ç t ə t ə ʊ n t f iː l y b oː k ʃ iː f d ɛ ɾ f ɔ r ə b ɛ s iː ʃ ɛ ts eː ʃ ʊ m ʊ s f l uː,Basel,72911186-8b0e-4c0b-af3d-4d8765072930,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,twenties,31
16_Zürich_3e7e3ad6-938d-40fa-9787-2e9f8c529a66,16,Zürich,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es ist ein sehr schöner Ausflug.,ɪ x b ə ɡ aɪ ç t ə r m ɪ t m aɪ n ɪ r ə f a m iː l oː f r ə f l iː n ə r aɪ s k z iː n ɑː h aɪ n d a s v oː n n d ə ʃ oː n ʃ oː s b ə z ɪ x t ɪ t ʊ n t f iː l uː b ə k k ʃ ɪ x t ə f ɔ r ə ɛ s z ɪ ʃ ə z eː ʃ yː n ə m ʊ s f uː,Basel,3e7e3ad6-938d-40fa-9787-2e9f8c529a66,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,sixties,31
16_Graubünden_ce50fa32-dbc4-4f72-bd5f-5128784a5abc,16,Graubünden,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besucht und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ɪ n d eː n ɡ ɛ ʃ t ə m ɪ t m iː r ɜ f a m iː l j ɔ f ɔ n ɛ k l iː n ə r aɪ s k s iː m iː aɪ n ɜ b oː d ɪ ʃ ø n ʃ l ɔ s t ə z ɪ x d iː ʊ t f iː l y b ə p k ʃ ɪ x t ə r f ɑː r r ə ɛ s ɪ n ʃ ʊ n z eː r ʃ ø n ə uː s l uː k s iː,Basel,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,female,twenties,31
16_Bern_ba118975-5963-4495-927a-a78d19dd98c1,16,Bern,"Ich begegne Sie mit meiner Familie auf einer Ruhige Reise. Mit einem wunderschönen Schloss besichtigt und schön erbittet, geschäften Vater. Erzimmert sehr schön den Rüstschlag.",b ə ɡ ʃ t ɪ m ɪ n ø ɡ ə f ɛ ɾ ə n ɪ ə f ɔ ɾ v ɛ f ə n oː d ø n ç m ɪ n t ɛ n oː v ɛ h t ə ʃ oː n ʃ ç f ɛ s ɪ n ɪ t ə n d iː ts ʌ m ɛ t ə t k ʃ ɛ n s d ə n f ɛ d ə d ɛ ts ɪ v aɪ ts ɪ l ø ʃ n d ɛ ɾ n ʃ f ɛ l t,Basel,ba118975-5963-4495-927a-a78d19dd98c1,Ich war gestern mit meiner Familie auf einer kleinen Reise. Wir haben ein wunderschönes Schloss besichtigt und viel über die Geschichte erfahren. Es war ein sehr schöner Ausflug.,ChatGPT,male,fourties,31
