name,speaker_id,dialect,sample_id,text,gender,snr,c50,utterance_pitch_mean,utterance_pitch_std,speaking_rate,phonemes,stoi,si-sdr,pesq,pitch,speaking_rate_cls,noise,reverberation,speech_monotony,sdr_noise,pesq_speech_quality,quality
Graubünden_1e65bc1316280785b1083ec0f4a3383712fe7f94159671f1bcfd6341e7ce605d,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Graubünden,1e65bc1316280785b1083ec0f4a3383712fe7f94159671f1bcfd6341e7ce605d,Wir wurden sehr gut informiert und dokumentiert.,female,65.64697265625,52.14710998535156,185.1068420410156,53.36573028564453,3.1746031746031744,  sɛɹ ɡʌt  ʌnd .,0.9784157872200012,27.999038696289062,3.732058525085449,slightly high pitch,quite slowly,quite clear,very confined sounding,quite monotone,very clear,great speech quality,Good
Graubünden_359287ecc8dd219c23f8a02e8822cee145da46acc2872687c18838589ef56ff6,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Graubünden,359287ecc8dd219c23f8a02e8822cee145da46acc2872687c18838589ef56ff6,Fünf Jahre lang steht das höchste Gebäude der Schweiz in Zürich.,female,61.88753509521485,50.13442611694336,238.9058532714844,60.60617446899414,3.681392235609103,  læŋ  dæs   dɜ˞  ɪn .,0.9820193648338318,28.434005737304688,3.6616156101226807,slightly high pitch,slightly slowly,quite clear,quite confined sounding,quite monotone,very clear,great speech quality,Good
Graubünden_35cf58e4ac663e3cfaf694fd6113828e5fe006b54aa1b5bf13810f6c8f51cfeb,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Graubünden,35cf58e4ac663e3cfaf694fd6113828e5fe006b54aa1b5bf13810f6c8f51cfeb,An Ostern lässt sich spontan auch ein Flug machen.,female,47.67125701904297,59.57161712646485,221.9717559814453,41.439449310302734,4.428341384863124,æn     ɔtʃ aɪn  mækʌn.,0.991269588470459,26.64672470092773,3.513138055801392,slightly high pitch,slightly slowly,slightly clear,very confined sounding,quite monotone,very clear,great speech quality,Good
Graubünden_36735e15f0f119ac84c4ab73d8d95a6a3ab6c3f53c8d783bf321a38d10274df2,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Graubünden,36735e15f0f119ac84c4ab73d8d95a6a3ab6c3f53c8d783bf321a38d10274df2,"Wir sind bestrebt, immer eine nachhaltige, positive Rendite zu erwirtschaften.",female,61.63907241821289,51.69844818115234,215.4755401611328,36.02591323852539,3.101402373247033," sɪnd ,   , pɑzʌtɪv   .",0.9757201671600342,26.729663848876957,3.8655526638031006,slightly high pitch,quite slowly,quite clear,quite confined sounding,quite monotone,very clear,wonderful speech quality,Good
Graubünden_3b71c15a510ed6963a39151f36b1818311a1cf19232d54588f8856ceb0d1133c,ce50fa32-dbc4-4f72-bd5f-5128784a5abc,Graubünden,3b71c15a510ed6963a39151f36b1818311a1cf19232d54588f8856ceb0d1133c,Zum anderen erhöht es die Komplexität der Fahrzeuge.,female,53.91329574584961,54.08750534057617,176.399658203125,49.82762145996094,3.1746031746031744,   ɛs daɪ  dɜ˞ .,0.9766134023666382,23.544204711914062,3.517036437988281,slightly high pitch,quite slowly,slightly clear,very confined sounding,quite monotone,almost no noise,great speech quality,Good
Ostschweiz_4843d52c05bdf33b7b7c3ccf134368db0cfbbe05ef46076fa4fca05b965fdf77,72911186-8b0e-4c0b-af3d-4d8765072930,Ostschweiz,4843d52c05bdf33b7b7c3ccf134368db0cfbbe05ef46076fa4fca05b965fdf77,Wir haben vom DGS sehr viel Goodwill erfahren.,male,55.02853393554688,42.68283462524414,171.34552001953125,79.8633041381836,3.7037037037037033,    sɛɹ vil ɡʊdwɪl .,0.9761850237846376,22.87635803222656,3.589256525039673,very high pitch,slightly slowly,slightly clear,slightly confined sounding,slightly monotone,almost no noise,great speech quality,Good
Ostschweiz_1f50f7476557eaa00908c697c7a270633ca04ec497bf04be513b104501fa7a4b,72911186-8b0e-4c0b-af3d-4d8765072930,Ostschweiz,1f50f7476557eaa00908c697c7a270633ca04ec497bf04be513b104501fa7a4b,"Geschätzter Präsident, liebe Anwesenden.",male,54.428104400634766,50.71609878540039,118.75042724609376,26.038164138793945,1.8832391713747645," , lib .",0.959630846977234,14.153637886047363,2.3927760124206543,very high pitch,quite slowly,slightly clear,quite confined sounding,very monotone,slightly noisy,slightly bad speech quality,Average
Ostschweiz_28cfe5cb03721132b548e45f1d7c92806ee73c1483300dff91cd0900e7bd7a6e,72911186-8b0e-4c0b-af3d-4d8765072930,Ostschweiz,28cfe5cb03721132b548e45f1d7c92806ee73c1483300dff91cd0900e7bd7a6e,"Ich bitte Sie, den Teilrückweisungsantrag zu unterstützen.",male,58.40936279296875,46.63603973388672,142.8681182861328,57.6828727722168,1.7094017094017095,"ɪtʃ  si, dɛn   .",0.9794451594352722,21.4245548248291,2.9936060905456543,very high pitch,very slowly,quite clear,quite confined sounding,quite monotone,almost no noise,moderate speech quality,Average
Ostschweiz_33a5f192afef33342b3939e674aad54f5b92ed07121d429bbce59fae506d80c6,72911186-8b0e-4c0b-af3d-4d8765072930,Ostschweiz,33a5f192afef33342b3939e674aad54f5b92ed07121d429bbce59fae506d80c6,Und du siehst diese unglaublich gut aussehenden Frauen.,male,63.12256622314453,45.539817810058594,223.0340576171875,119.45084381103516,2.2792022792022792,ʌnd du    ɡʌt  .,0.9857515692710876,19.0102653503418,2.5126028060913086,very high pitch,quite slowly,quite clear,quite confined sounding,moderate intonation,almost no noise,slightly bad speech quality,Average
Ostschweiz_348bb97c484320889cb9b637ca455177f87c36c93dad8ab1ab7ffb8f2f11fb6c,72911186-8b0e-4c0b-af3d-4d8765072930,Ostschweiz,348bb97c484320889cb9b637ca455177f87c36c93dad8ab1ab7ffb8f2f11fb6c,Dieses Design kommt ganz klar aus Rüsselsheim.,male,36.90839385986328,36.83290100097656,134.19094848632812,93.56346130371094,6.265664160401002,daɪzɪz dɪzaɪn  ɡænz klɑɹ aʊz .,0.965661883354187,19.363080978393555,2.284055233001709,very high pitch,slightly fast,slightly noisy,slightly confined sounding,slightly monotone,almost no noise,slightly bad speech quality,Average
Bern_7e1ae660ee18c6ad79885ac2737d51c63b479b7e54414180b53990f09ad87180,0497b106-6644-42ce-b99e-57f9a6c7fc81,Bern,7e1ae660ee18c6ad79885ac2737d51c63b479b7e54414180b53990f09ad87180,Die vielen Strafen kosteten aber am Ende zuviel Substanz.,male,44.03961563110352,44.55141067504883,93.28925323486328,15.6421537399292,3.7957211870255354,daɪ    eɪbɜ˞ æm ɛnd  .,0.9966253042221068,24.415203094482425,3.795087099075317,very low pitch,slightly slowly,moderate ambient sound,quite confined sounding,very monotone,almost no noise,wonderful speech quality,Good
Bern_80fcaab34ca71501f0dc49caac9435efabd488ec8774c0c11d93b947b3d2c9a4,0497b106-6644-42ce-b99e-57f9a6c7fc81,Bern,80fcaab34ca71501f0dc49caac9435efabd488ec8774c0c11d93b947b3d2c9a4,Im Hotel Regina entstanden die Kandidatinnen-Videos.,male,59.985870361328125,44.90950012207031,97.75357818603516,17.212499618530273,4.489337822671156,ɪm hoʊtɛl ɹɪdʒinʌ  daɪ -vɪdioʊz.,0.998636782169342,25.44717025756836,3.833559036254883,very low pitch,slightly slowly,quite clear,quite confined sounding,very monotone,very clear,wonderful speech quality,Good
Bern_89a9f4ac7e05a8ed8c42b7780940df00457b3250532433e9b8e96384a67844b7,0497b106-6644-42ce-b99e-57f9a6c7fc81,Bern,89a9f4ac7e05a8ed8c42b7780940df00457b3250532433e9b8e96384a67844b7,Man muss das im grösseren Zusammenhang sehen.,male,62.38060760498047,59.09954452514648,100.17880249023438,8.499031066894531,3.1806615776081424,mæn  dæs ɪm   .,0.9888344407081604,27.49301147460937,3.665373325347901,very low pitch,quite slowly,quite clear,very confined sounding,very monotone,very clear,great speech quality,Good
Bern_a47577ec3028489d585c64710d3b205c8bf72f90321cadbd6de4eb8195fb8745,0497b106-6644-42ce-b99e-57f9a6c7fc81,Bern,a47577ec3028489d585c64710d3b205c8bf72f90321cadbd6de4eb8195fb8745,Weiterführende Ermittlungen sind nach Angaben der Behörden noch im Gang.,male,50.22857284545898,58.37375259399414,112.91065979003906,18.613975524902344,3.7957211870255354,  sɪnd   dɜ˞   ɪm ɡæŋ.,0.9963041543960572,26.79150390625,3.532346248626709,very low pitch,slightly slowly,slightly clear,very confined sounding,very monotone,very clear,great speech quality,Good
Bern_a78e95e40e0c53e114bd1104245d9ac72e0979f2d9f80ff62b6626743941ffc1,0497b106-6644-42ce-b99e-57f9a6c7fc81,Bern,a78e95e40e0c53e114bd1104245d9ac72e0979f2d9f80ff62b6626743941ffc1,Erfolgreiche Bilanzen sehen anders aus.,male,50.499324798583984,58.11907577514648,84.52689361572266,19.14108085632324,3.08641975308642,   ændɜ˞z aʊz.,0.9910466074943542,22.90557098388672,3.539060115814209,very low pitch,quite slowly,slightly clear,very confined sounding,very monotone,almost no noise,great speech quality,Good
Zürich_bd7e0539d1bdc3798b65665f477824bae309c81e76228ba8ea547ceaa2b2e618,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Zürich,bd7e0539d1bdc3798b65665f477824bae309c81e76228ba8ea547ceaa2b2e618,Dafür bedanke ich mich.,male,73.82674407958984,29.236328125,171.0233154296875,25.649436950683597,3.7722908093278464,  ɪtʃ mɪtʃ.,0.9924522042274476,23.520357131958008,3.7513482570648193,moderate pitch,slightly slowly,very clear,moderate reverberation,very monotone,almost no noise,great speech quality,Good
Zürich_e2924d26fa79d275891a499eb082fc9a671a272d6a97b2025254936192e04724,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Zürich,e2924d26fa79d275891a499eb082fc9a671a272d6a97b2025254936192e04724,Er hatte heute jedenfalls weniger Probleme als ich.,male,74.53266143798828,36.77630233764648,136.03341674804688,29.59638214111328,5.414312617702448,ɜ˞    wɛnɪɡɜ˞  ælz ɪtʃ.,0.9747747182846068,24.101757049560547,3.501561403274536,moderate pitch,moderate speed,very clear,slightly confined sounding,very monotone,almost no noise,great speech quality,Good
Zürich_15f9fe77addf9e22ccea71d157ad82442f8c8614edebc075fe9e3da4d73fe958,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Zürich,15f9fe77addf9e22ccea71d157ad82442f8c8614edebc075fe9e3da4d73fe958,Bis Mitte Jahr wird die ganze Stadtverwaltung darauf arbeiten.,male,70.69012451171875,52.7843132019043,137.9547119140625,30.28026008605957,3.824476650563607,bɪs  dʒɑɹ  daɪ    .,0.9604330062866212,14.17600917816162,2.001278877258301,moderate pitch,slightly slowly,very clear,very confined sounding,very monotone,slightly noisy,bad speech quality,Average
Zürich_32e1b76ac401de21236b3c3e75e10cb74b7b6a9ddb7a8751899e4303810f1a8c,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Zürich,32e1b76ac401de21236b3c3e75e10cb74b7b6a9ddb7a8751899e4303810f1a8c,Es geht mir jetzt doch etwas zu schnell.,male,68.07258605957031,29.45555877685547,141.1334228515625,25.93992805480957,5.1892551892551895,ɛs  mɪɹ     ʃnɛl.,0.9566709995269777,22.83931350708008,2.538732051849365,moderate pitch,moderate speed,very clear,moderate reverberation,very monotone,almost no noise,slightly bad speech quality,Average
Zürich_7341a01caeec0136731653305c36e778b39806bb309a47c57bd48e0ef2a17160,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Zürich,7341a01caeec0136731653305c36e778b39806bb309a47c57bd48e0ef2a17160,Auch Labour-Anhänger fanden das peinlich.,male,72.83116149902344,35.977317810058594,118.28186798095705,23.836843490600582,5.555555555555555,ɔtʃ leɪbɜ˞-  dæs .,0.892517626285553,16.989959716796875,2.4332876205444336,moderate pitch,moderate speed,very clear,moderate reverberation,very monotone,almost no noise,slightly bad speech quality,Average
Basel_3e1dcf6088cba9400fcb7faac193720b767e12c6cb7e3273f1edbc0f374e7f8d,e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,Basel,3e1dcf6088cba9400fcb7faac193720b767e12c6cb7e3273f1edbc0f374e7f8d,Jeder hat heutzutage seine Taschenlampe im Handy mit dabei.,male,39.42911911010742,57.79049682617188,99.01905822753906,18.45052146911621,4.942058623040218, hæt  seɪn  ɪm hændi ɛmaɪti .,0.9901242852211,17.26045036315918,3.6786277294158936,quite low pitch,moderate speed,moderate ambient sound,very confined sounding,very monotone,almost no noise,great speech quality,Good
Basel_4318d9c43928bd47568288a4406094c3bce1302fd0cc3481341fc6a93157afe1,e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,Basel,4318d9c43928bd47568288a4406094c3bce1302fd0cc3481341fc6a93157afe1,Rund die Hälfte hatte dabei gemäss offiziellen Empfehlungen einen Vitamin-D-Mangel.,male,48.27271270751953,37.645206451416016,107.82877349853516,13.294883728027344,4.854368932038835,ɹʌnd daɪ        vaɪtʌmʌn-di-meɪŋɡʌl.,0.9972032308578492,23.245540618896484,3.5151991844177246,quite low pitch,moderate speed,slightly clear,slightly confined sounding,very monotone,almost no noise,great speech quality,Good
Basel_4b3a3bdba5eb9ae2178b0ea3e017126afba12318b6467889315dd2a7a6b85f0a,e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,Basel,4b3a3bdba5eb9ae2178b0ea3e017126afba12318b6467889315dd2a7a6b85f0a,Während den Diskussionen konnte diese aber aus dem Weg geräumt werden.,male,61.60721969604492,12.711909294128418,127.82425689697266,27.00432586669922,3.2407407407407405, dɛn    eɪbɜ˞ aʊz    wɜ˞dʌn.,0.9634328484535216,17.39126968383789,3.5705246925354004,quite low pitch,quite slowly,quite clear,quite roomy sounding,very monotone,almost no noise,great speech quality,Good
Basel_000e62d2b32460b18f3cdeebe718c1d2a3afa41df86d3be199f2cbd2990c0ad3,e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,Basel,000e62d2b32460b18f3cdeebe718c1d2a3afa41df86d3be199f2cbd2990c0ad3,"Ich habe das Gefühl, dass mich Leo Scherer Kleiner missverstanden hat.",male,31.80413818359375,59.24372100830078,101.57762908935548,13.659528732299805,7.147498375568551,"ɪtʃ  dæs , dæs mɪtʃ lioʊ ʃɪɹɜ˞ klaɪnɜ˞  hæt.",0.9930682182312012,18.986129760742188,3.40733003616333,quite low pitch,slightly fast,slightly noisy,very confined sounding,very monotone,almost no noise,great speech quality,Average
Basel_00f80ba1b840196ab86abdfcec84ddbe455c7fab74ef04583eeca646e4f1a66e,e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,Basel,00f80ba1b840196ab86abdfcec84ddbe455c7fab74ef04583eeca646e4f1a66e,"Es spielt keine Rolle, welche Meinung wir zu diesem Sachgeschäft vertreten.",male,40.29354095458984,59.7536506652832,112.86378479003906,20.57718086242676,2.5641025641025643,"ɛs   ɹoʊl,       .",0.9794251322746276,19.69991111755371,3.1227622032165527,quite low pitch,quite slowly,moderate ambient sound,very confined sounding,very monotone,almost no noise,moderate speech quality,Average
Bern_4e563314630415d3df27e9ba022ed27f221c68907669f3e1bb663dbb96858898,ba118975-5963-4495-927a-a78d19dd98c1,Bern,4e563314630415d3df27e9ba022ed27f221c68907669f3e1bb663dbb96858898,Etwas anders sieht es bei Luca aus.,male,50.30754470825195,58.23124694824219,232.81320190429688,110.10263061523438,5.8201058201058204, ændɜ˞z  ɛs  lukʌ aʊz.,0.965821385383606,19.35690689086914,3.715840339660645,moderate pitch,moderate speed,slightly clear,very confined sounding,moderate intonation,almost no noise,great speech quality,Good
