reference,token_count_ref
Morgen will ich früh aufstehen und eine Runde spazieren gehen.,11
"Die Entwicklung neuer Technologien bringt viele Veränderungen mit sich. Besonders in der Kommunikation hat die Einführung von Smartphones und sozialen Netzwerken die Art und Weise, wie wir miteinander interagieren, revolutioniert.",34
"Die Kinder haben heute Nachmittag im Garten gespielt. Sie haben so viel gelacht, dass ich auch gleich gute Laune hatte.",23
"Wir sollten uns überlegen, wie wir das Problem am besten lösen können.",14
"Es ist wichtig, ab und zu einfach mal abzuschalten.",11
"Die Blumen im Garten brauchen dringend Wasser, es hat schon lange nicht mehr geregnet.",16
Der neue Film im Kino soll sehr spannend sein.,10
"Ich habe mich entschieden, einen Kochkurs zu machen.",10
"Vor kurzem habe ich eine Wanderung gemacht. Der Weg führte durch einen wunderschönen Wald und der Duft der Bäume war einfach herrlich. Es war ein ruhiger Moment, den ich sehr genossen habe.",36
"Wir könnten nächste Woche zusammen ins Museum gehen. Es gibt eine neue Ausstellung, die wirklich interessant klingt.",20
Wir könnten uns am Wochenende auf einen Kaffee treffen.,10
"Ich habe heute eine interessante Doku gesehen. Sie hat mir viele neue Einblicke in ein Thema gegeben, das ich vorher kaum gekannt habe.",26
Die Kinder haben heute im Sandkasten gespielt und waren total glücklich.,12
"Ich habe heute mit einem Kollegen über das Thema Arbeit gesprochen. Wir sind zu dem Schluss gekommen, dass eine gute Balance zwischen Arbeit und Freizeit sehr wichtig ist.",31
"Ich war heute den ganzen Tag unterwegs. Jetzt bin ich froh, endlich zu Hause zu sein.",19
Der Kuchen ist dir wirklich gut gelungen.,8
"In vielen Städten gibt es ein wachsendes Interesse an urbanen Gärten. Bewohner nutzen kleine Flächen, um Gemüse und Kräuter anzubauen. Dies fördert nicht nur die Selbstversorgung, sondern auch die Gemeinschaft.",35
"Es ist immer wieder faszinierend, wie schnell die Zeit vergeht.",12
"Wir könnten das Wochenende nutzen, um die Wohnung aufzuräumen.",11
Der neue Nachbar ist sehr sympathisch.,7
"Der Tourismus hat in den letzten Jahren stark zugenommen. Besonders in beliebten Ferienorten ist die Zahl der Besucher in den Sommermonaten enorm. Dies hat nicht nur wirtschaftliche Vorteile, sondern auch Auswirkungen auf die Umwelt.",38
Ich habe lange nach einem Geschenk gesucht und endlich etwas gefunden.,12
Der neue Kollege hat sich gut ins Team integriert.,10
Wir sollten uns bald um die Gartenarbeit kümmern.,9
"Am Wochenende gibt es ein Festival in der Stadt. Vielleicht sollten wir hingehen, es klingt wirklich spannend.",20
"Es tut gut, einfach mal Zeit für sich selbst zu haben.",13
"Die Forschung im Bereich Künstliche Intelligenz macht große Fortschritte. Forscher entwickeln immer komplexere Algorithmen, die in der Lage sind, selbstständig zu lernen und zu agieren. Es bleibt abzuwarten, wie diese Technologie das Leben in der Zukunft beeinflussen wird.",44
"Wir könnten heute zusammen ein bisschen bummeln gehen. Es gibt ein paar neue Läden in der Stadt, die wir mal ausprobieren könnten.",25
"Die Sonne scheint so schön, das macht gute Laune.",11
Ich war gestern in einem Konzert. Die Musik war großartig und die Atmosphäre einzigartig. Es war wirklich eine unvergessliche Erfahrung.,23
"Die Entwicklung von Elektroautos geht schnell voran. Viele Unternehmen investieren in die Forschung und Entwicklung neuer Technologien, um die Reichweite und Effizienz von Elektrofahrzeugen zu verbessern.",29
"Ich habe heute ein interessantes Video über Kunstgeschichte gesehen. Es ging darum, wie sich verschiedene Kunstbewegungen im Laufe der Jahrhunderte verändert haben. Es war faszinierend, all die Entwicklungen zu sehen.",35
"Ich habe neulich eine interessante Doku über Naturkatastrophen gesehen. Sie zeigte, wie der Mensch versucht, mit den Auswirkungen der Erde zu leben. Es war erschreckend, aber auch lehrreich.",34
Hast du schon ein neues Buch angefangen?,8
Hast du schon das neue Buch von deinem Lieblingsautor gelesen?,11
"Gestern war ich mit Freunden auf einem Festival. Die Musik war laut, aber großartig, und wir hatten eine tolle Zeit. Es war schön, mal wieder etwas anderes zu erleben.",35
Ich habe gestern meinen Freund getroffen. Wir haben zusammen Mittag gegessen und uns gut unterhalten.,17
"Der Arbeitsmarkt verändert sich kontinuierlich. Viele Tätigkeiten, die früher manuell erledigt wurden, werden heute durch Maschinen oder Software automatisiert. Dies stellt viele Arbeitnehmer vor neue Herausforderungen.",31
"Ich habe beschlossen, mehr Zeit mit meinen Freunden zu verbringen.",12
